"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3874","test_with_valid_credential[vandana2023@gmail.com-123456]","tests","2026-04-20","passed","2026-04-20","TestLogin","test_loginpage","",""
"","4641","test_with_valid_credential[vandana1826@gmail.com-123456]","tests","2026-04-20","passed","2026-04-20","TestLogin","test_loginpage","",""
"","7279","test_register_with_duplicate_email","tests","2026-04-20","passed","2026-04-20","TestRegister","test_Register","",""
"","3864","test_with_valid_credential[vandana1992@gmail.com-123456]","tests","2026-04-20","passed","2026-04-20","TestLogin","test_loginpage","",""
"","8297","test_register_with_all_mandatory_fields","tests","2026-04-20","passed","2026-04-20","TestRegister","test_Register","",""
"","3227","test_without_entering_credientials","tests","2026-04-20","passed","2026-04-20","TestLogin","test_loginpage","",""
"","8823","test_register_with_mandatory_fields","tests","2026-04-20","passed","2026-04-20","TestRegister","test_Register","",""
"","3653","test_search_for_a_vaild_product","tests","2026-04-20","passed","2026-04-20","TestSearch","test_Search","",""
"","7164","test_register_without_entring_any_fields","tests","2026-04-20","passed","2026-04-20","TestRegister","test_Register","",""
"","6488","test_with_invalid_email_valid_password","tests","2026-04-20","passed","2026-04-20","TestLogin","test_loginpage","",""
"","528","test_search_for_a_invalid_product","tests","2026-04-20","passed","2026-04-20","TestSearch","test_Search","",""
"","429","test_search_without_product","tests","2026-04-20","passed","2026-04-20","TestSearch","test_Search","",""
"","1598","test_with_valid_email_invalid_password","tests","2026-04-20","passed","2026-04-20","TestLogin","test_loginpage","",""
